ID,Date,Time,Product,Price_INR,Stock_In,Sold_Today,Weekly_Sold,Monthly_Sold,Stock_Left
1,2025-01-18,09:47:00,Cheese,92.03,134,17,210,334,117
2,2025-03-01,16:37:00,Apples,140.77,35,5,65,323,30
3,2025-01-19,10:35:00,Dal,83.57,299,53,114,593,246
4,2025-07-10,05:51:00,Bananas,61.45,101,54,146,450,47
5,2025-05-28,07:48:00,Bread,39.37,67,48,77,464,19
6,2025-06-30,21:51:00,Biscuits,22.77,255,68,104,511,187
7,2025-07-20,11:53:00,Butter,61.32,205,73,127,868,132
8,2025-02-01,14:42:00,Butter,55.5,168,10,233,491,158
9,2025-09-17,19:17:00,Cheese,96.27,206,20,119,502,186
10,2025-07-02,14:44:00,Eggs,7.94,56,38,205,400,18
11,2025-06-17,10:10:00,Apples,142.18,158,71,132,853,87
12,2025-02-08,12:14:00,Coffee,198.98,181,51,124,211,130
13,2025-08-04,03:13:00,Eggs,7.45,222,58,99,390,164
14,2025-06-18,16:47:00,Bread,41.61,154,74,188,805,80
15,2025-09-05,10:14:00,Soap,43.67,90,65,196,309,25
16,2025-03-17,04:09:00,Curd,36.99,236,76,97,511,160
17,2025-11-16,20:33:00,Soap,36.59,25,21,210,347,4
18,2025-07-02,11:49:00,Apples,148.43,77,37,153,334,40
19,2025-01-03,13:46:00,Toothpaste,102.94,154,64,264,466,90
20,2025-03-14,23:55:00,Dal,92.96,279,77,132,308,202
21,2025-04-21,14:34:00,Biscuits,28.46,291,0,158,509,291
22,2025-01-14,15:07:00,Cooking Oil,186.83,177,30,49,315,147
23,2025-02-24,02:05:00,Bananas,59.56,55,48,189,993,7
24,2025-03-29,23:42:00,Bread,40.75,104,33,173,814,71
25,2025-05-25,22:59:00,Shampoo,150.05,122,39,146,853,83
26,2025-10-27,09:57:00,Biscuits,25.73,81,31,93,178,50
27,2025-01-15,16:37:00,Coffee,186.93,132,0,23,767,132
28,2025-06-06,14:04:00,Curd,39.42,189,9,145,408,180
29,2025-11-28,17:13:00,Salt,22.77,262,31,236,740,231
30,2025-05-11,07:06:00,Shampoo,134.01,240,45,158,598,195
31,2025-02-07,07:43:00,Toothpaste,97.83,70,7,115,880,63
32,2025-03-16,22:15:00,Coffee,170.62,294,57,97,549,237
33,2025-07-10,11:29:00,Rice,59.67,58,28,239,1135,30
34,2025-03-09,04:03:00,Apples,148.83,296,1,29,820,295
35,2025-04-24,20:26:00,Sugar,45.96,129,51,287,367,78
36,2025-09-17,01:00:00,Rice,71.07,155,58,136,589,97
37,2025-11-29,13:09:00,Apples,132.65,131,7,160,933,124
38,2025-02-11,22:47:00,Apples,136.98,45,37,164,698,8
39,2025-04-18,19:03:00,Dal,100.34,61,54,106,196,7
40,2025-02-16,17:43:00,Chicken,267.71,226,15,261,864,211
41,2025-01-28,11:39:00,Sugar,41.42,287,40,284,571,247
42,2025-08-03,19:15:00,Eggs,6.76,87,38,160,503,49
43,2025-01-07,16:29:00,Butter,61.21,71,9,151,389,62
44,2025-07-01,09:08:00,Dal,99.73,55,15,114,425,40
45,2025-10-27,11:53:00,Rice,64.22,174,78,289,978,96
46,2025-01-06,16:42:00,Dal,97.18,173,13,258,415,160
47,2025-03-21,03:56:00,Salt,20.39,99,34,111,750,65
48,2025-08-23,09:13:00,Eggs,7.5,155,64,194,471,91
49,2025-03-05,08:40:00,Curd,35.21,161,5,10,371,156
50,2025-06-29,03:10:00,Bread,43.41,238,71,78,212,167
51,2025-04-13,02:34:00,Butter,52.72,209,74,220,391,135
52,2025-03-29,08:02:00,Shampoo,141.67,40,22,80,798,18
53,2025-03-12,12:22:00,Sugar,49.28,228,79,275,453,149
54,2025-04-22,06:51:00,Sugar,49.62,231,3,53,827,228
55,2025-10-09,09:51:00,Coffee,192.15,147,34,79,905,113
56,2025-09-19,11:55:00,Cheese,86.42,260,28,84,940,232
57,2025-08-28,00:19:00,Toothpaste,101.67,136,28,39,734,108
58,2025-09-30,08:21:00,Eggs,6.79,55,49,125,504,6
59,2025-10-01,04:43:00,Dal,100.79,294,42,287,335,252
60,2025-06-28,15:11:00,Cheese,99.29,155,4,36,666,151
61,2025-08-25,07:46:00,Shampoo,159.01,243,77,212,350,166
